Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Bash,Beginner,What is the syntax for a loop in Bash?,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,while i < 10:,C
Groovy,Beginner,What is the syntax for a loop in Groovy?,while i < 10:,loop i in 10,for i = 0; i < 10; i++,for i in range(10):,D
TypeScript,Advanced,Discuss performance optimization techniques in TypeScript.,Use only built-in functions,Avoid using any loops,Write all code in one function,"Optimize algorithms, reduce time complexity",D
C++,Beginner,What is the syntax for a basic C++ program?,console.log('Hello World'),print('Hello World'),echo 'Hello World',System.out.println('Hello World'),B
Go,Intermediate,What are common data structures in Go?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,B
React,Beginner,What are variables in React?,Used for user input,Used for function definitions,Used for program flow,Used to store data,D
Python,Advanced,Explain multithreading or asynchronous operations in Python.,Allows multiple tasks to run concurrently,Executes one task at a time,Handles memory management,None of the above,A
PHP,Advanced,Explain multithreading or asynchronous operations in PHP.,Handles memory management,Executes one task at a time,None of the above,Allows multiple tasks to run concurrently,D
Lua,Advanced,Explain multithreading or asynchronous operations in Lua.,Allows multiple tasks to run concurrently,None of the above,Executes one task at a time,Handles memory management,A
MATLAB,Advanced,Explain multithreading or asynchronous operations in MATLAB.,Executes one task at a time,Handles memory management,None of the above,Allows multiple tasks to run concurrently,D
React,Beginner,How do you import modules in React?,require module_name,include module_name,import module_name,using module_name,C
C++,Advanced,What is garbage collection in C++?,None of the above,Automatic memory management system,A manual process for freeing memory,A method for checking memory leaks,B
SQL,Beginner,What is a list in SQL?,A variable type for text,A data structure that stores ordered elements,A way to store numbers,A function for grouping variables,B
Ruby,Advanced,Discuss performance optimization techniques in Ruby.,Avoid using any loops,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,C
HTML & CSS,Beginner,What is the syntax for a basic HTML & CSS program?,echo 'Hello World',print('Hello World'),console.log('Hello World'),System.out.println('Hello World'),B
Haskell,Intermediate,What are common data structures in Haskell?,"Functions, arrays, objects","Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples",D
R,Beginner,What is the syntax for a basic R program?,System.out.println('Hello World'),console.log('Hello World'),echo 'Hello World',print('Hello World'),D
F#,Beginner,How do you define a function in F#?,def function_name():,function_name(){},function function_name(){},function_name() = {},A
Python,Intermediate,How do you define a class in Python?,define ClassName(),function ClassName() {},class ClassName:,class: ClassName,C
MATLAB,Intermediate,How do you define a class in MATLAB?,class ClassName:,define ClassName(),class: ClassName,function ClassName() {},A
HTML & CSS,Advanced,Explain multithreading or asynchronous operations in HTML & CSS.,None of the above,Executes one task at a time,Handles memory management,Allows multiple tasks to run concurrently,D
Java,Beginner,What is the syntax for a basic Java program?,echo 'Hello World',System.out.println('Hello World'),console.log('Hello World'),print('Hello World'),D
COBOL,Advanced,What are advanced use cases for COBOL?,Basic website scripting,None of the above,File system management,"High-performance computing, data analysis, AI",D
MATLAB,Advanced,What is garbage collection in MATLAB?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
C,Advanced,Explain multithreading or asynchronous operations in C.,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,None of the above,B
Groovy,Advanced,How does memory management work in Groovy?,It involves printing memory addresses,Memory management is handled by users,None of the above,It involves allocation and deallocation of memory,D
TypeScript,Beginner,What is the syntax for a loop in TypeScript?,for i = 0; i < 10; i++,while i < 10:,loop i in 10,for i in range(10):,D
Objective-C,Beginner,How do you define a function in Objective-C?,function_name(){},function_name() = {},def function_name():,function function_name(){},C
Haskell,Intermediate,What are common data structures in Haskell?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,B
C++,Intermediate,Explain functions in C++.,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,D
TypeScript,Beginner,What is an array in TypeScript?,A set of variables,A collection of functions,A list of random values,A collection of elements of the same type,D
COBOL,Advanced,What are advanced use cases for COBOL?,None of the above,File system management,"High-performance computing, data analysis, AI",Basic website scripting,C
Scala,Beginner,What is an array in Scala?,A set of variables,A list of random values,A collection of functions,A collection of elements of the same type,D
TypeScript,Advanced,How does memory management work in TypeScript?,None of the above,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,D
Python,Intermediate,Explain the concept of scope in Python.,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,A
TypeScript,Beginner,What is the syntax for a basic TypeScript program?,echo 'Hello World',print('Hello World'),System.out.println('Hello World'),console.log('Hello World'),B
Objective-C,Advanced,What is garbage collection in Objective-C?,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,None of the above,A
Swift,Advanced,What is garbage collection in Swift?,Automatic memory management system,A manual process for freeing memory,None of the above,A method for checking memory leaks,A
Scala,Beginner,What are variables in Scala?,Used for function definitions,Used for program flow,Used for user input,Used to store data,D
MATLAB,Intermediate,How do you define a class in MATLAB?,class ClassName:,function ClassName() {},define ClassName(),class: ClassName,A
SQL,Intermediate,Explain the concept of scope in SQL.,None of the above,Scope defines where variables can be accessed,Scope is the time limit for variable usage,Scope is how fast a program runs,B
Dart,Intermediate,How do you handle errors in Dart?,If-else statements,None of the above,Error-handling functions,Try-except blocks,D
Julia,Beginner,How do you import modules in Julia?,using module_name,include module_name,import module_name,require module_name,C
C#,Intermediate,What are common data structures in C#?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects","Loops, arrays, classes",None of the above,A
React,Advanced,Discuss performance optimization techniques in React.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,B
Python,Intermediate,What are common data structures in Python?,"Loops, arrays, classes","Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples",D
Perl,Beginner,How do you write comments in Perl?,// comment,# comment,/* comment */,comment(),B
Java,Intermediate,How do you handle errors in Java?,Error-handling functions,Try-except blocks,If-else statements,None of the above,B
F#,Beginner,How do you write comments in F#?,comment(),# comment,// comment,/* comment */,B
Python,Advanced,What are advanced use cases for Python?,"High-performance computing, data analysis, AI",None of the above,Basic website scripting,File system management,A
F#,Beginner,What is an array in F#?,A list of random values,A collection of elements of the same type,A set of variables,A collection of functions,B
MATLAB,Advanced,Explain multithreading or asynchronous operations in MATLAB.,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,None of the above,B
HTML & CSS,Advanced,What is garbage collection in HTML & CSS?,None of the above,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,B
MATLAB,Beginner,What does the print function do in MATLAB?,Stores data,Writes a value to a file,Returns a value,Displays a value on the screen,D
TypeScript,Intermediate,How do you define a class in TypeScript?,define ClassName(),class ClassName:,class: ClassName,function ClassName() {},B
Haskell,Advanced,What is garbage collection in Haskell?,A manual process for freeing memory,A method for checking memory leaks,Automatic memory management system,None of the above,C
C,Intermediate,How do you handle errors in C?,None of the above,Try-except blocks,Error-handling functions,If-else statements,B
Swift,Intermediate,Explain functions in Swift.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
TypeScript,Advanced,What is garbage collection in TypeScript?,A method for checking memory leaks,Automatic memory management system,None of the above,A manual process for freeing memory,B
Dart,Intermediate,Explain the concept of scope in Dart.,None of the above,Scope defines where variables can be accessed,Scope is how fast a program runs,Scope is the time limit for variable usage,B
Julia,Advanced,Discuss performance optimization techniques in Julia.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,Write all code in one function,B
PHP,Beginner,What is the difference between a string and an integer in PHP?,"An integer is a whole number, a string is text","A string is a number, and an integer is text",There is no difference,A string is a sequence of characters,A
C#,Intermediate,Explain functions in C#.,Functions handle user input,Functions are used to store variables,Functions are reusable blocks of code,Functions are used for file I/O,C
Dart,Beginner,What is an array in Dart?,A list of random values,A collection of elements of the same type,A set of variables,A collection of functions,B
JavaScript,Intermediate,What are common data structures in JavaScript?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,B
PHP,Advanced,How does memory management work in PHP?,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,C
JavaScript,Advanced,How does memory management work in JavaScript?,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,Memory management is handled by users,C
R,Advanced,Discuss performance optimization techniques in R.,Use only built-in functions,Write all code in one function,"Optimize algorithms, reduce time complexity",Avoid using any loops,C
Kotlin,Intermediate,How do you define a class in Kotlin?,function ClassName() {},class ClassName:,define ClassName(),class: ClassName,B
COBOL,Intermediate,What are common data structures in COBOL?,"Functions, arrays, objects",None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
Objective-C,Advanced,What is garbage collection in Objective-C?,A manual process for freeing memory,A method for checking memory leaks,None of the above,Automatic memory management system,D
Dart,Intermediate,What are common data structures in Dart?,None of the above,"Functions, arrays, objects","Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
Haskell,Beginner,What is an array in Haskell?,A list of random values,A set of variables,A collection of functions,A collection of elements of the same type,D
Go,Advanced,How does memory management work in Go?,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,C
Lua,Intermediate,Explain functions in Lua.,Functions are used for file I/O,Functions are reusable blocks of code,Functions handle user input,Functions are used to store variables,B
Scala,Intermediate,Explain the concept of scope in Scala.,Scope defines where variables can be accessed,Scope is how fast a program runs,Scope is the time limit for variable usage,None of the above,A
C,Advanced,Explain multithreading or asynchronous operations in C.,Handles memory management,Executes one task at a time,Allows multiple tasks to run concurrently,None of the above,C
C,Intermediate,Explain functions in C.,Functions are used to store variables,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,B
Bash,Advanced,Explain multithreading or asynchronous operations in Bash.,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,None of the above,B
C#,Beginner,What are variables in C#?,Used for program flow,Used to store data,Used for user input,Used for function definitions,B
React,Beginner,What is the syntax for a basic React program?,echo 'Hello World',print('Hello World'),System.out.println('Hello World'),console.log('Hello World'),B
F#,Beginner,How do you define a function in F#?,function_name() = {},function_name(){},function function_name(){},def function_name():,D
Lua,Intermediate,How do you handle errors in Lua?,None of the above,Try-except blocks,Error-handling functions,If-else statements,B
JavaScript,Advanced,Discuss performance optimization techniques in JavaScript.,Avoid using any loops,Write all code in one function,Use only built-in functions,"Optimize algorithms, reduce time complexity",D
Java,Intermediate,Explain functions in Java.,Functions are reusable blocks of code,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,A
Python,Beginner,What does the print function do in Python?,Stores data,Displays a value on the screen,Writes a value to a file,Returns a value,B
Go,Advanced,How does memory management work in Go?,None of the above,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,B
SQL,Intermediate,How do you define a class in SQL?,class ClassName:,function ClassName() {},class: ClassName,define ClassName(),A
TypeScript,Beginner,What are variables in TypeScript?,Used for user input,Used to store data,Used for function definitions,Used for program flow,B
Ruby,Intermediate,What are common data structures in Ruby?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples",None of the above,"Loops, arrays, classes",B
C++,Advanced,What is garbage collection in C++?,Automatic memory management system,A method for checking memory leaks,None of the above,A manual process for freeing memory,A
Go,Beginner,How do you define a function in Go?,function_name() = {},function_name(){},def function_name():,function function_name(){},C
Scala,Advanced,Discuss performance optimization techniques in Scala.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,Write all code in one function,B
F#,Advanced,What are advanced use cases for F#?,"High-performance computing, data analysis, AI",None of the above,File system management,Basic website scripting,A
PHP,Intermediate,Explain functions in PHP.,Functions are reusable blocks of code,Functions are used for file I/O,Functions handle user input,Functions are used to store variables,A
Go,Beginner,What does the print function do in Go?,Returns a value,Stores data,Writes a value to a file,Displays a value on the screen,D
C++,Intermediate,What are common data structures in C++?,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,"Functions, arrays, objects",A
Haskell,Intermediate,How do you handle errors in Haskell?,None of the above,Try-except blocks,If-else statements,Error-handling functions,B
Lua,Advanced,What are advanced use cases for Lua?,File system management,Basic website scripting,None of the above,"High-performance computing, data analysis, AI",D
C++,Beginner,What is the syntax for a loop in C++?,loop i in 10,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,D
HTML & CSS,Intermediate,Explain the concept of scope in HTML & CSS.,Scope is how fast a program runs,None of the above,Scope is the time limit for variable usage,Scope defines where variables can be accessed,D
F#,Beginner,What is the difference between a string and an integer in F#?,"A string is a number, and an integer is text",A string is a sequence of characters,There is no difference,"An integer is a whole number, a string is text",D
Rust,Advanced,What is garbage collection in Rust?,None of the above,A manual process for freeing memory,A method for checking memory leaks,Automatic memory management system,D
Java,Beginner,What is the syntax for a loop in Java?,for i = 0; i < 10; i++,while i < 10:,loop i in 10,for i in range(10):,D
Perl,Intermediate,Explain functions in Perl.,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,A
Objective-C,Advanced,What is garbage collection in Objective-C?,Automatic memory management system,None of the above,A manual process for freeing memory,A method for checking memory leaks,A
Objective-C,Intermediate,How do you handle errors in Objective-C?,Error-handling functions,Try-except blocks,None of the above,If-else statements,B
TypeScript,Intermediate,Explain the concept of scope in TypeScript.,None of the above,Scope defines where variables can be accessed,Scope is how fast a program runs,Scope is the time limit for variable usage,B
HTML & CSS,Intermediate,What are common data structures in HTML & CSS?,"Lists, dictionaries, sets, tuples","Functions, arrays, objects",None of the above,"Loops, arrays, classes",A
Perl,Intermediate,What are common data structures in Perl?,"Functions, arrays, objects",None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
Haskell,Intermediate,What are common data structures in Haskell?,None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
Dart,Beginner,What is the syntax for a loop in Dart?,loop i in 10,for i = 0; i < 10; i++,for i in range(10):,while i < 10:,C
C#,Intermediate,Explain functions in C#.,Functions are reusable blocks of code,Functions are used for file I/O,Functions are used to store variables,Functions handle user input,A
React,Advanced,Explain multithreading or asynchronous operations in React.,None of the above,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,C
COBOL,Advanced,What is garbage collection in COBOL?,None of the above,A method for checking memory leaks,Automatic memory management system,A manual process for freeing memory,C
TypeScript,Advanced,What are advanced use cases for TypeScript?,Basic website scripting,"High-performance computing, data analysis, AI",None of the above,File system management,B
C,Beginner,How do you import modules in C?,require module_name,include module_name,using module_name,import module_name,D
R,Advanced,Discuss performance optimization techniques in R.,Write all code in one function,Avoid using any loops,Use only built-in functions,"Optimize algorithms, reduce time complexity",D
JavaScript,Intermediate,How do you handle errors in JavaScript?,None of the above,If-else statements,Error-handling functions,Try-except blocks,D
C++,Intermediate,How do you define a class in C++?,class ClassName:,class: ClassName,function ClassName() {},define ClassName(),A
SQL,Beginner,What are variables in SQL?,Used for user input,Used for program flow,Used for function definitions,Used to store data,D
Haskell,Advanced,What is garbage collection in Haskell?,A manual process for freeing memory,None of the above,Automatic memory management system,A method for checking memory leaks,C
Python,Beginner,What is the syntax for a basic Python program?,console.log('Hello World'),System.out.println('Hello World'),echo 'Hello World',print('Hello World'),D
Objective-C,Beginner,What is the syntax for a basic Objective-C program?,echo 'Hello World',console.log('Hello World'),System.out.println('Hello World'),print('Hello World'),D
C,Advanced,What are advanced use cases for C?,None of the above,File system management,"High-performance computing, data analysis, AI",Basic website scripting,C
TypeScript,Beginner,What is the syntax for a loop in TypeScript?,loop i in 10,while i < 10:,for i in range(10):,for i = 0; i < 10; i++,C
Julia,Beginner,What is the difference between a string and an integer in Julia?,There is no difference,"A string is a number, and an integer is text","An integer is a whole number, a string is text",A string is a sequence of characters,C
Swift,Beginner,What is a list in Swift?,A function for grouping variables,A variable type for text,A way to store numbers,A data structure that stores ordered elements,D
Go,Beginner,How do you define a function in Go?,function_name(){},function function_name(){},def function_name():,function_name() = {},C
Julia,Advanced,What are advanced use cases for Julia?,"High-performance computing, data analysis, AI",File system management,Basic website scripting,None of the above,A
Swift,Advanced,Discuss performance optimization techniques in Swift.,Avoid using any loops,Use only built-in functions,Write all code in one function,"Optimize algorithms, reduce time complexity",D
Bash,Intermediate,What are common data structures in Bash?,"Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",C
JavaScript,Advanced,What are advanced use cases for JavaScript?,"High-performance computing, data analysis, AI",Basic website scripting,File system management,None of the above,A
MATLAB,Beginner,How do you import modules in MATLAB?,require module_name,using module_name,import module_name,include module_name,C
Perl,Advanced,Explain multithreading or asynchronous operations in Perl.,Handles memory management,Allows multiple tasks to run concurrently,None of the above,Executes one task at a time,B
Julia,Beginner,What is the syntax for a loop in Julia?,loop i in 10,for i in range(10):,for i = 0; i < 10; i++,while i < 10:,B
Haskell,Beginner,What is the syntax for a loop in Haskell?,for i = 0; i < 10; i++,while i < 10:,for i in range(10):,loop i in 10,C
Lua,Beginner,What does the print function do in Lua?,Stores data,Returns a value,Writes a value to a file,Displays a value on the screen,D
Lua,Advanced,How does memory management work in Lua?,Memory management is handled by users,None of the above,It involves printing memory addresses,It involves allocation and deallocation of memory,D
React,Advanced,Discuss performance optimization techniques in React.,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,Use only built-in functions,A
Groovy,Intermediate,What are common data structures in Groovy?,"Loops, arrays, classes","Functions, arrays, objects","Lists, dictionaries, sets, tuples",None of the above,C
Bash,Beginner,What is the syntax for a basic Bash program?,echo 'Hello World',console.log('Hello World'),System.out.println('Hello World'),print('Hello World'),D
Groovy,Intermediate,How do you handle errors in Groovy?,Try-except blocks,If-else statements,None of the above,Error-handling functions,A
Go,Intermediate,What are common data structures in Go?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,B
SQL,Advanced,What are advanced use cases for SQL?,None of the above,File system management,"High-performance computing, data analysis, AI",Basic website scripting,C
JavaScript,Beginner,What is an array in JavaScript?,A list of random values,A collection of elements of the same type,A set of variables,A collection of functions,B
Dart,Advanced,How does memory management work in Dart?,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,B
Ruby,Intermediate,How do you define a class in Ruby?,function ClassName() {},class: ClassName,class ClassName:,define ClassName(),C
Scala,Advanced,What are advanced use cases for Scala?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
Java,Intermediate,How do you handle errors in Java?,None of the above,If-else statements,Error-handling functions,Try-except blocks,D
Lua,Intermediate,Explain the concept of scope in Lua.,Scope is how fast a program runs,None of the above,Scope defines where variables can be accessed,Scope is the time limit for variable usage,C
C,Intermediate,How do you handle errors in C?,Error-handling functions,None of the above,If-else statements,Try-except blocks,D
Groovy,Advanced,What are advanced use cases for Groovy?,"High-performance computing, data analysis, AI",Basic website scripting,None of the above,File system management,A
COBOL,Beginner,What is the syntax for a loop in COBOL?,for i = 0; i < 10; i++,loop i in 10,for i in range(10):,while i < 10:,C
Dart,Advanced,Discuss performance optimization techniques in Dart.,"Optimize algorithms, reduce time complexity",Write all code in one function,Use only built-in functions,Avoid using any loops,A
C,Advanced,Discuss performance optimization techniques in C.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,B
Elixir,Beginner,How do you write comments in Elixir?,comment(),// comment,# comment,/* comment */,C
Rust,Advanced,Discuss performance optimization techniques in Rust.,Avoid using any loops,Write all code in one function,"Optimize algorithms, reduce time complexity",Use only built-in functions,C
Dart,Advanced,Discuss performance optimization techniques in Dart.,Avoid using any loops,"Optimize algorithms, reduce time complexity",Use only built-in functions,Write all code in one function,B
JavaScript,Advanced,Discuss performance optimization techniques in JavaScript.,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,Use only built-in functions,A
Ruby,Advanced,What is garbage collection in Ruby?,Automatic memory management system,A manual process for freeing memory,None of the above,A method for checking memory leaks,A
Lua,Advanced,What is garbage collection in Lua?,Automatic memory management system,A manual process for freeing memory,None of the above,A method for checking memory leaks,A
Perl,Advanced,What is garbage collection in Perl?,A method for checking memory leaks,A manual process for freeing memory,Automatic memory management system,None of the above,C
C#,Beginner,What is the syntax for a loop in C#?,for i in range(10):,loop i in 10,while i < 10:,for i = 0; i < 10; i++,A
Go,Advanced,What are advanced use cases for Go?,None of the above,Basic website scripting,"High-performance computing, data analysis, AI",File system management,C
Perl,Advanced,Discuss performance optimization techniques in Perl.,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,Write all code in one function,A
HTML & CSS,Intermediate,Explain the concept of scope in HTML & CSS.,None of the above,Scope defines where variables can be accessed,Scope is how fast a program runs,Scope is the time limit for variable usage,B
SQL,Beginner,What is the syntax for a basic SQL program?,echo 'Hello World',print('Hello World'),console.log('Hello World'),System.out.println('Hello World'),B
Go,Advanced,How does memory management work in Go?,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,Memory management is handled by users,A
MATLAB,Advanced,What are advanced use cases for MATLAB?,Basic website scripting,None of the above,"High-performance computing, data analysis, AI",File system management,C
Ruby,Intermediate,How do you define a class in Ruby?,function ClassName() {},class ClassName:,define ClassName(),class: ClassName,B
JavaScript,Advanced,What is garbage collection in JavaScript?,A manual process for freeing memory,Automatic memory management system,None of the above,A method for checking memory leaks,B
SQL,Beginner,How do you define a function in SQL?,function_name() = {},function function_name(){},def function_name():,function_name(){},C
MATLAB,Advanced,What is garbage collection in MATLAB?,None of the above,A manual process for freeing memory,A method for checking memory leaks,Automatic memory management system,D
HTML & CSS,Advanced,Explain multithreading or asynchronous operations in HTML & CSS.,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,None of the above,B
Julia,Beginner,What does the print function do in Julia?,Writes a value to a file,Stores data,Returns a value,Displays a value on the screen,D
Go,Advanced,Discuss performance optimization techniques in Go.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Write all code in one function,Avoid using any loops,B
MATLAB,Beginner,What does the print function do in MATLAB?,Writes a value to a file,Displays a value on the screen,Returns a value,Stores data,B
MATLAB,Intermediate,Explain functions in MATLAB.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
Lua,Advanced,How does memory management work in Lua?,Memory management is handled by users,It involves printing memory addresses,None of the above,It involves allocation and deallocation of memory,D
HTML & CSS,Beginner,How do you write comments in HTML & CSS?,// comment,# comment,/* comment */,comment(),B
SQL,Intermediate,Explain functions in SQL.,Functions are used to store variables,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,B
Bash,Intermediate,Explain the concept of scope in Bash.,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,B
Groovy,Intermediate,Explain the concept of scope in Groovy.,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,Scope defines where variables can be accessed,D
R,Beginner,What is an array in R?,A collection of functions,A collection of elements of the same type,A set of variables,A list of random values,B
Perl,Beginner,What does the print function do in Perl?,Returns a value,Displays a value on the screen,Writes a value to a file,Stores data,B
MATLAB,Intermediate,How do you define a class in MATLAB?,class: ClassName,class ClassName:,function ClassName() {},define ClassName(),B
Haskell,Advanced,How does memory management work in Haskell?,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,C
MATLAB,Intermediate,What are common data structures in MATLAB?,"Loops, arrays, classes","Functions, arrays, objects",None of the above,"Lists, dictionaries, sets, tuples",D
Dart,Intermediate,How do you handle errors in Dart?,None of the above,Error-handling functions,If-else statements,Try-except blocks,D
C++,Advanced,How does memory management work in C++?,It involves printing memory addresses,It involves allocation and deallocation of memory,None of the above,Memory management is handled by users,B
Elixir,Intermediate,Explain the concept of scope in Elixir.,Scope defines where variables can be accessed,Scope is how fast a program runs,None of the above,Scope is the time limit for variable usage,A
Go,Advanced,How does memory management work in Go?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Groovy,Advanced,What is garbage collection in Groovy?,Automatic memory management system,A method for checking memory leaks,A manual process for freeing memory,None of the above,A
JavaScript,Beginner,What does the print function do in JavaScript?,Stores data,Writes a value to a file,Returns a value,Displays a value on the screen,D
Kotlin,Intermediate,What are common data structures in Kotlin?,"Functions, arrays, objects","Loops, arrays, classes",None of the above,"Lists, dictionaries, sets, tuples",D
C#,Beginner,What is an array in C#?,A collection of elements of the same type,A set of variables,A collection of functions,A list of random values,A
Kotlin,Intermediate,Explain functions in Kotlin.,Functions handle user input,Functions are used for file I/O,Functions are reusable blocks of code,Functions are used to store variables,C
Ruby,Beginner,What does the print function do in Ruby?,Displays a value on the screen,Returns a value,Stores data,Writes a value to a file,A
Objective-C,Beginner,How do you define a function in Objective-C?,def function_name():,function_name() = {},function_name(){},function function_name(){},A
Groovy,Advanced,What are advanced use cases for Groovy?,Basic website scripting,"High-performance computing, data analysis, AI",File system management,None of the above,B
HTML & CSS,Beginner,How do you define a function in HTML & CSS?,function_name() = {},function function_name(){},def function_name():,function_name(){},C
PHP,Intermediate,How do you define a class in PHP?,class ClassName:,class: ClassName,define ClassName(),function ClassName() {},A
Elixir,Beginner,What is the syntax for a basic Elixir program?,System.out.println('Hello World'),console.log('Hello World'),print('Hello World'),echo 'Hello World',C
COBOL,Intermediate,Explain the concept of scope in COBOL.,Scope is how fast a program runs,Scope defines where variables can be accessed,Scope is the time limit for variable usage,None of the above,B
HTML & CSS,Beginner,What is a list in HTML & CSS?,A data structure that stores ordered elements,A variable type for text,A way to store numbers,A function for grouping variables,A
JavaScript,Intermediate,Explain the concept of scope in JavaScript.,Scope is how fast a program runs,Scope defines where variables can be accessed,None of the above,Scope is the time limit for variable usage,B
JavaScript,Advanced,What is garbage collection in JavaScript?,None of the above,A manual process for freeing memory,Automatic memory management system,A method for checking memory leaks,C
R,Beginner,What is the syntax for a basic R program?,print('Hello World'),console.log('Hello World'),System.out.println('Hello World'),echo 'Hello World',A
MATLAB,Advanced,How does memory management work in MATLAB?,None of the above,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,D
Groovy,Beginner,What is a list in Groovy?,A variable type for text,A way to store numbers,A function for grouping variables,A data structure that stores ordered elements,D
C#,Intermediate,What are common data structures in C#?,None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",B
Dart,Advanced,What are advanced use cases for Dart?,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,File system management,B
Julia,Intermediate,How do you define a class in Julia?,function ClassName() {},define ClassName(),class ClassName:,class: ClassName,C
PHP,Intermediate,Explain the concept of scope in PHP.,None of the above,Scope is the time limit for variable usage,Scope is how fast a program runs,Scope defines where variables can be accessed,D
Scala,Advanced,What are advanced use cases for Scala?,File system management,"High-performance computing, data analysis, AI",None of the above,Basic website scripting,B
Scala,Intermediate,Explain functions in Scala.,Functions are used for file I/O,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,C
C++,Advanced,What are advanced use cases for C++?,Basic website scripting,File system management,None of the above,"High-performance computing, data analysis, AI",D
Java,Advanced,Discuss performance optimization techniques in Java.,Use only built-in functions,"Optimize algorithms, reduce time complexity",Avoid using any loops,Write all code in one function,B
Haskell,Beginner,What is a list in Haskell?,A way to store numbers,A data structure that stores ordered elements,A variable type for text,A function for grouping variables,B
R,Intermediate,How do you define a class in R?,function ClassName() {},define ClassName(),class: ClassName,class ClassName:,D
Python,Intermediate,Explain functions in Python.,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,Functions handle user input,A
Python,Intermediate,How do you handle errors in Python?,Error-handling functions,If-else statements,None of the above,Try-except blocks,D
R,Intermediate,What are common data structures in R?,"Lists, dictionaries, sets, tuples","Loops, arrays, classes",None of the above,"Functions, arrays, objects",A
